time_s,radius_cm,temperature_c,moisture_kg_kg
1,0.0,28,2.55
1,0.1,28,2.55
1,0.2,28,2.55
1,0.3,28,2.55
1,0.4,28,2.55
1,0.5,28,2.55
1,0.6,28,2.55
1,0.7,28,2.55
1,0.8,28,2.55
1,0.9,28,2.55
1,1.0,28,2.55
1,1.1,28,2.55
1,1.2,28,2.55
1,1.3,28,2.55
1,1.4,28,2.55
1,1.5,28,2.55
1,1.6,28,2.55
1,1.7,28,2.55
1,1.8,28.00000017,2.55
1,1.9,28.00000743,2.55
1,2.0,28.00020269,2.519950574
2,0.0,28,2.55
2,0.1,28,2.55
2,0.2,28,2.55
2,0.3,28,2.55
2,0.4,28,2.55
2,0.5,28,2.55
2,0.6,28,2.55
2,0.7,28,2.55
2,0.8,28,2.55
2,0.9,28,2.55
2,1.0,28,2.55
2,1.1,28,2.55
2,1.2,28,2.55
2,1.3,28,2.55
2,1.4,28,2.55
2,1.5,28,2.55
2,1.6,28,2.55
2,1.7,28.00000005,2.55
2,1.8,28.00000183,2.55
2,1.9,28.00004182,2.549999999
2,2.0,28.00053564,2.50550506
3,0.0,28,2.55
3,0.1,28,2.55
3,0.2,28,2.55
3,0.3,28,2.55
3,0.4,28,2.55
3,0.5,28,2.55
3,0.6,28,2.55
3,0.7,28,2.55
3,0.8,28,2.55
3,0.9,28,2.55
3,1.0,28,2.55
3,1.1,28,2.55
3,1.2,28,2.55
3,1.3,28,2.55
3,1.4,28,2.55
3,1.5,28,2.55
3,1.6,28.00000002,2.55
3,1.7,28.00000044,2.55
3,1.8,28.00000908,2.55
3,1.9,28.00012133,2.549999991
3,2.0,28.00096942,2.495117494
4,0.0,28,2.55
4,0.1,28,2.55
4,0.2,28,2.55
4,0.3,28,2.55
4,0.4,28,2.55
4,0.5,28,2.55
4,0.6,28,2.55
4,0.7,28,2.55
4,0.8,28,2.55
4,0.9,28,2.55
4,1.0,28,2.55
4,1.1,28,2.55
4,1.2,28,2.55
4,1.3,28,2.55
4,1.4,28,2.55
4,1.5,28,2.55
4,1.6,28.00000011,2.55
4,1.7,28.00000203,2.55
4,1.8,28.00002767,2.55
4,1.9,28.00025008,2.549999917
4,2.0,28.0014821,2.486498654
5,0.0,28,2.55
5,0.1,28,2.55
5,0.2,28,2.55
5,0.3,28,2.55
5,0.4,28,2.55
5,0.5,28,2.55
5,0.6,28,2.55
5,0.7,28,2.55
5,0.8,28,2.55
5,0.9,28,2.55
5,1.0,28,2.55
5,1.1,28,2.55
5,1.2,28,2.55
5,1.3,28,2.55
5,1.4,28,2.55
5,1.5,28.00000003,2.55
5,1.6,28.00000046,2.55
5,1.7,28.00000637,2.55
5,1.8,28.00006247,2.55
5,1.9,28.00042716,2.549999531
5,2.0,28.00206196,2.478969684
6,0.0,28,2.55
6,0.1,28,2.55
6,0.2,28,2.55
6,0.3,28,2.55
6,0.4,28,2.55
6,0.5,28,2.55
6,0.6,28,2.55
6,0.7,28,2.55
6,0.8,28,2.55
6,0.9,28,2.55
6,1.0,28,2.55
6,1.1,28,2.55
6,1.2,28,2.55
6,1.3,28,2.55
6,1.4,28.00000001,2.55
6,1.5,28.00000011,2.55
6,1.6,28.00000148,2.55
6,1.7,28.00001536,2.55
6,1.8,28.00011688,2.55
6,1.9,28.00065063,2.549998119
6,2.0,28.00270124,2.472202954
7,0.0,28,2.55
7,0.1,28,2.55
7,0.2,28,2.55
7,0.3,28,2.55
7,0.4,28,2.55
7,0.5,28,2.55
7,0.6,28,2.55
7,0.7,28,2.55
7,0.8,28,2.55
7,0.9,28,2.55
7,1.0,28,2.55
7,1.1,28,2.55
7,1.2,28,2.55
7,1.3,28,2.55
7,1.4,28.00000003,2.55
7,1.5,28.00000035,2.55
7,1.6,28.00000375,2.55
7,1.7,28.00003094,2.55
7,1.8,28.00019312,2.55
7,1.9,28.00091834,2.549994215
7,2.0,28.00339427,2.466008871
8,0.0,28,2.55
8,0.1,28,2.55
8,0.2,28,2.55
8,0.3,28,2.55
8,0.4,28,2.55
8,0.5,28,2.55
8,0.6,28,2.55
8,0.7,28,2.55
8,0.8,28,2.55
8,0.9,28,2.55
8,1.0,28,2.55
8,1.1,28,2.55
8,1.2,28,2.55
8,1.3,28.00000001,2.55
8,1.4,28.00000008,2.55
8,1.5,28.00000091,2.55
8,1.6,28.00000802,2.55
8,1.7,28.00005487,2.55
8,1.8,28.00029258,2.55
8,1.9,28.00122827,2.549985482
8,2.0,28.00413672,2.460265692
